Common Name,Scientific Name,Where_Found,Family,Family Common Name,Duration,Growth Habit,Active Growth Period,Flower Color,Foliage Color,Growth Form,Growth Rate,"Height, Mature (feet)",Low Growing Grass,Shape and Orientation,Toxicity,Drought Tolerance,Shade Tolerance,Bloom Period,Bare Root,Bulbs,Container,Corms,Cuttings,Seed,Sod,Sprigs,Tubers,Palatable Human
meadow woollyheads,Psilocarphus elatior,"CAN(BC), USA(CA, ID, OR, WA)",Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Oregon woollyheads,Psilocarphus oregonus,"USA(CA, ID, NV, OR, WA)",Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
slender woollyheads,Psilocarphus tenellus,"CAN(BC), USA(CA, ID, MT, OR, WA)",Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
slender woollyheads,Psilocarphus tenellus var. globiferus,USA(CA),Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
slender woollyheads,Psilocarphus tenellus var. tenellus,"CAN(BC), USA(CA, ID, OR, WA)",Asteraceae,Aster family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
paperflower,Psilostrophe,"USA(AZ, CA, CO, ID, KS, NM, NV, OK, TX, UT)",Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,
Baker's paperflower,Psilostrophe bakeri,"USA(CO, ID)",Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
whitestem paperflower,Psilostrophe cooperi,"USA(AZ, CA, NM, NV, UT)",Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
dudweed,Psilostrophe gnaphalioides,USA(TX),Asteraceae,Aster family,"Biennial, Perennial",Forb/herb,,,,,,,,,,,,,,,,,,,,,,
greenstem paperflower,Psilostrophe sparsiflora,"USA(AZ, NM, UT)",Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
woolly paperflower,Psilostrophe tagetina,"USA(AZ, CO, KS, NM, OK, TX, UT)",Asteraceae,Aster family,"Biennial, Perennial","Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
woolly paperflower,Psilostrophe tagetina var. cerifera,"USA(KS, NM, OK, TX)",Asteraceae,Aster family,"Perennial, Biennial","Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
woolly paperflower,Psilostrophe tagetina var. tagetina,"USA(AZ, CO, KS, NM, OK, TX, UT)",Asteraceae,Aster family,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,
whisk fern,Psilotum,"USA+(PR, VI), USA(AL, AR, AZ, FL, GA, HI, LA, MS, NC, PW, SC, TX, UM)",Psilotaceae,Whisk-fern family,,,,,,,,,,,,,,,,,,,,,,,,
whisk fern,Psilotum nudum,"USA+(PR, VI), USA(AL, AR, AZ, FL, GA, HI, LA, MS, NC, PW, SC, TX, UM)",Psilotaceae,Whisk-fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
scurfpea,Psoralidium,"CAN(AB, SK), USA(AZ, CA, CO, IA, ID, IL, IN, KS, KY, MN, MO, MS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WI, WY)",Fabaceae,Pea family,,,,,,,,,,,,,,,,,,,,,,,,
rush lemonweed,Psoralidium junceum,"USA(AZ, UT)",Fabaceae,Pea family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
lemon scurfpea,Psoralidium lanceolatum,"CAN(AB, SK), USA(AZ, CA, CO, IA, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY)",Fabaceae,Pea family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
slimflower scurfpea,Psoralidium tenuiflorum,"USA(AZ, CO, IA, IL, IN, KS, KY, MN, MO, MS, MT, ND, NE, NM, OK, SD, TX, UT, WI, WY)",Fabaceae,Pea family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
dalea,Psorothamnus,"USA(AZ, CA, CO, NM, NV, TX, UT)",Fabaceae,Pea family,,,,,,,,,,,,,,,,,,,,,,,,
Mojave indigobush,Psorothamnus arborescens,"USA(AZ, CA, NV, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Mojave indigobush,Psorothamnus arborescens var. arborescens,USA(CA),Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Johnson's indigobush,Psorothamnus arborescens var. minutifolius,"USA(CA, NV)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Mojave indigobush,Psorothamnus arborescens var. pubescens,"USA(AZ, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
California indigobush,Psorothamnus arborescens var. simplifolius,USA(CA),Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
dyebush,Psorothamnus emoryi,"USA(AZ, CA)",Fabaceae,Pea family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
Fremont's dalea,Psorothamnus fremontii,"USA(AZ, CA, NV, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Fremont's dalea,Psorothamnus fremontii var. attenuatus,"USA(AZ, CA, NV)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Fremont's dalea,Psorothamnus fremontii var. fremontii,"USA(AZ, CA, NV, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
King's dalea,Psorothamnus kingii,USA(NV),Fabaceae,Pea family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Nevada dalea,Psorothamnus polydenius,"USA(CA, NV, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Jones' dalea,Psorothamnus polydenius var. jonesii,USA(UT),Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Nevada dalea,Psorothamnus polydenius var. polydenius,"USA(CA, NV, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Schott's dalea,Psorothamnus schottii,"USA(AZ, CA)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
broom dalea,Psorothamnus scoparius,"USA(AZ, NM, TX)",Fabaceae,Pea family,Perennial,"Subshrub, Shrub",,,,,,,,,,,,,,,,,,,,,,
smoketree,Psorothamnus spinosus,"USA(AZ, CA, NV)",Fabaceae,Pea family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
Thompson's dalea,Psorothamnus thompsoniae,"USA(AZ, CO, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Thompson's dalea,Psorothamnus thompsoniae var. thompsoniae,USA(UT),Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
Whiting's dalea,Psorothamnus thompsoniae var. whitingii,"USA(AZ, CO, UT)",Fabaceae,Pea family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
wild coffee,Psychotria,"USA+(PR, VI), USA(FL, FM, GU, HI, MP, NAV, PW)",Rubiaceae,Madder family,,,,,,,,,,,,,,,,,,,,,,,,
Bahama wild coffee,Psychotria ligustrifolia,"USA+(PR), USA(FL)",Rubiaceae,Madder family,Perennial,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,
Seminole balsamo,Psychotria nervosa,"USA+(PR, VI), USA(FL)",Rubiaceae,Madder family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
dotted wild coffee,Psychotria punctata,USA(FL),Rubiaceae,Madder family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
shortleaf wild coffee,Psychotria tenuifolia,"USA+(PR, VI), USA(FL)",Rubiaceae,Madder family,Perennial,Shrub,,,,,,,,,,,,,,,,,,,,,,
hoptree,Ptelea,"CAN(ON, QC), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, VT, WI, WV)",Rutaceae,Rue family,,,,,,,,,,,,,,,,,,,,,,,,
California hoptree,Ptelea crenulata,USA(CA),Rutaceae,Rue family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
common hoptree,Ptelea trifoliata ssp. angustifolia,"USA(AR, NM, OK, TX)",Rutaceae,Rue family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
common hoptree,Ptelea trifoliata ssp. angustifolia var. angustifolia,"USA(AR, NM, OK, TX)",Rutaceae,Rue family,Perennial,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,
common hoptree,Ptelea trifoliata ssp. angustifolia var. persicifolia,"USA(AR, OK, TX)",Rutaceae,Rue family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
pallid hoptree,Ptelea trifoliata ssp. pallida,"USA(AZ, CO, NM, TX, UT)",Rutaceae,Rue family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
pallid hoptree,Ptelea trifoliata ssp. pallida var. cognata,"USA(AZ, NM)",Rutaceae,Rue family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
pallid hoptree,Ptelea trifoliata ssp. pallida var. confinis,"USA(CO, NM, TX)",Rutaceae,Rue family,Perennial,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,
pallid hoptree,Ptelea trifoliata ssp. pallida var. lutescens,"USA(AZ, UT)",Rutaceae,Rue family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
pallid hoptree,Ptelea trifoliata ssp. pallida var. pallida,"USA(AZ, NM, UT)",Rutaceae,Rue family,Perennial,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,
pallid hoptree,Ptelea trifoliata ssp. polyadenia,"USA(AR, AZ, CO, NM, OK, TX)",Rutaceae,Rue family,Perennial,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,
common hoptree,Ptelea trifoliata ssp. trifoliata,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Rutaceae,Rue family,Perennial,"Tree, Shrub",,,,,,,,,,,,,,,,,,,,,,
common hoptree,Ptelea trifoliata ssp. trifoliata var. mollis,"USA(AR, DC, FL, GA, IL, IN, LA, MI, MO, MS, NC, SC, TX, VA, WV)",Rutaceae,Rue family,Perennial,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,
common hoptree,Ptelea trifoliata ssp. trifoliata var. trifoliata,"CAN(ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)",Rutaceae,Rue family,Perennial,"Shrub, Tree",,,,,,,,,,,,,,,,,,,,,,
brackenfern,Pteridium,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)",Dennstaedtiaceae,Bracken Fern family,,,,,,,,,,,,,,,,,,,,,,,,
western brackenfern,Pteridium aquilinum var. latiusculum,"CAN(AB, BC, MB, NB, NF, NS, ON, PE, QC), FRA(SB), USA(AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY)",Dennstaedtiaceae,Bracken Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
western brackenfern,Pteridium aquilinum var. pseudocaudatum,"USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WV)",Dennstaedtiaceae,Bracken Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
hairy brackenfern,Pteridium aquilinum var. pubescens,"CAN(AB, BC), USA(AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY)",Dennstaedtiaceae,Bracken Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
southern brackenfern,Pteridium caudatum,"USA+(PR), USA(FL)",Dennstaedtiaceae,Bracken Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
brake fern,Pteris,"USA+(PR, VI), USA(AL, AR, CA, DC, FL, GA, HI, IL, IN, KY, LA, MD, MS, NAV, NC, NY, PW, SC, TX, VA)",Pteridaceae,Maidenhair Fern family,,,,,,,,,,,,,,,,,,,,,,,,
brake fern,Pteris ×delchampsii,USA(FL),Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Bahama brake,Pteris bahamensis,USA(FL),Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Cretan brake,Pteris cretica,"USA(CA, FL, HI, LA, MD)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Cretan brake,Pteris cretica var. albolineata,USA(FL),Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Cretan brake,Pteris cretica var. cretica,"USA(CA, FL, HI, LA, MD)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
elephantleaf brake,Pteris grandifolia,"USA+(PR), USA(FL)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
longleaf brake,Pteris longifolia,"USA+(PR, VI), USA(AL, HI, NAV, PW)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
spider brake,Pteris multifida,"USA(AL, AR, CA, DC, FL, GA, IL, IN, KY, LA, MD, MS, NC, NY, SC, TX, VA)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
striped brake,Pteris plumula,"USA+(PR), USA(FL)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Australian brake,Pteris tremula,USA(CA),Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
giant brake,Pteris tripartita,"USA+(PR), USA(FL, PW)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
ladder brake,Pteris vittata,"USA+(PR, VI), USA(AL, CA, DC, FL, GA, HI, LA, MS, PW, SC, TX)",Pteridaceae,Maidenhair Fern family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
pterocarya,Pterocarya,USA(LA),Juglandaceae,Walnut family,,,,,,,,,,,,,,,,,,,,,,,,
Chinese wingnut,Pterocarya stenoptera,USA(LA),Juglandaceae,Walnut family,Perennial,Tree,,,,,,,,,,,,,,,,,,,,,,
blackroot,Pterocaulon,"USA+(PR, VI), USA(AL, FL, GA, LA, MS, NC, SC, TX)",Asteraceae,Aster family,,,,,,,,,,,,,,,,,,,,,,,,
dense-spike blackroot,Pterocaulon pycnostachyum,"USA(AL, FL, GA, MS, NC, SC)",Asteraceae,Aster family,Perennial,"Forb/herb, Subshrub",,,,,,,,,,,,,,,,,,,,,,
wand blackroot,Pterocaulon virgatum,"USA+(PR, VI), USA(LA, TX)",Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb",,,,,,,,,,,,,,,,,,,,,,
pteroglossaspis,Pteroglossaspis,"USA(AL, FL, GA, LA, MS, NC, SC)",Orchidaceae,Orchid family,,,,,,,,,,,,,,,,,,,,,,,,
giant orchid,Pteroglossaspis ecristata,"USA(AL, FL, GA, LA, MS, NC, SC)",Orchidaceae,Orchid family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
pinedrops,Pterospora,"CAN(AB, BC, NB, ON, PE, QC, SK), USA(AZ, CA, CO, ID, MI, MT, NE, NH, NM, NV, NY, OR, PA, SD, TX, UT, VT, WA, WI, WY)",Monotropaceae,Indian Pipe family,,,,,,,,,,,,,,,,,,,,,,,,
woodland pinedrops,Pterospora andromedea,"CAN(AB, BC, NB, ON, PE, QC, SK), USA(AZ, CA, CO, ID, MI, MT, NE, NH, NM, NV, NY, OR, PA, SD, TX, UT, VT, WA, WI, WY)",Monotropaceae,Indian Pipe family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
pterostegia,Pterostegia,"USA(AZ, CA, NM, NV, OR, UT)",Polygonaceae,Buckwheat family,,,,,,,,,,,,,,,,,,,,,,,,
woodland pterostegia,Pterostegia drymarioides,"USA(AZ, CA, NM, NV, OR, UT)",Polygonaceae,Buckwheat family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
wavewing,Pteryxia,"CAN(BC), USA(AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)",Apiaceae,Carrot family,,,,,,,,,,,,,,,,,,,,,,,,
Davidson's wavewing,Pteryxia davidsonii,"USA(AZ, NM)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
Henderson's wavewing,Pteryxia hendersonii,"USA(CO, ID, MT, NM, NV, UT, WY)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
rockloving wavewing,Pteryxia petraea,"USA(AZ, CA, CO, ID, NM, NV, OR, UT)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
turpentine wavewing,Pteryxia terebinthina,"CAN(BC), USA(CA, CO, ID, MT, NV, OR, UT, WA, WY)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
turpentine wavewing,Pteryxia terebinthina var. albiflora,"USA(CO, ID, MT, NV, UT, WY)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
California wavewing,Pteryxia terebinthina var. californica,"USA(CA, NV)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
turpentine wavewing,Pteryxia terebinthina var. foeniculacea,"USA(ID, MT, OR, UT, WA)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
turpentine wavewing,Pteryxia terebinthina var. terebinthina,"USA(OR, WA)",Apiaceae,Carrot family,Perennial,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
false needlegrass,Ptilagrostis,"USA(CA, CO, NM)",Poaceae,Grass family,,,,,,,,,,,,,,,,,,,,,,,,
Porter's false needlegrass,Ptilagrostis porteri,"USA(CO, NM)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
mock bishopweed,Ptilimnium,"USA+(PR), USA(AL, AR, CT, DC, DE, FL, GA, IL, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OK, PA, RI, SC, SD, TN, TX, VA, WV)",Apiaceae,Carrot family,,,,,,,,,,,,,,,,,,,,,,,,
Ahles' Mock Bishopweed,Ptilimnium ahlesii,"USA(GA, NC, SC)",Apiaceae,Carrot family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
herbwilliam,Ptilimnium capillaceum,"USA+(PR), USA(AL, AR, CT, DC, DE, FL, GA, KS, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OK, PA, RI, SC, SD, TN, TX, VA)",Apiaceae,Carrot family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
ribbed mock bishopweed,Ptilimnium costatum,"USA(AL, AR, GA, IL, KY, LA, MO, NC, OK, TN, TX)",Apiaceae,Carrot family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
piedmont mock bishopweed,Ptilimnium nodosum,"USA(AL, AR, GA, MD, NC, SC, VA, WV)",Apiaceae,Carrot family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
laceflower,Ptilimnium nuttallii,"USA(AL, AR, IL, KS, KY, LA, MO, MS, OK, TN, TX)",Apiaceae,Carrot family,Annual,Forb/herb,,,,,,,,,,,,,,,,,,,,,,
ptilium moss,Ptilium,USA(NY),Hypnaceae,,,,,,,,,,,,,,,,,,,,,,,,,
knights plume moss,Ptilium crista-castrensis,USA(NY),Hypnaceae,,,Nonvascular,,,,,,,,,,,,,,,,,,,,,,
ptychosperma,Ptychosperma,USA(FL),Arecaceae,Palm family,,,,,,,,,,,,,,,,,,,,,,,,
Alexander palm,Ptychosperma elegans,USA(FL),Arecaceae,Palm family,Perennial,Tree,,,,,,,,,,,,,,,,,,,,,,
Macarthur feather palm,Ptychosperma macarthuri,USA(FL),Arecaceae,Palm family,Perennial,Tree,,,,,,,,,,,,,,,,,,,,,,
alkaligrass,Puccinellia,"CAN(AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY)",Poaceae,Grass family,,,,,,,,,,,,,,,,,,,,,,,,
Anderson's alkaligrass,Puccinellia andersonii,"CAN(MB, NT, NU, QC, YT), DEN(GL), USA(AK)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
narrow alkaligrass,Puccinellia angustata,"CAN(AB, BC, MB, NT, NU, QC, SK, YT), DEN(GL), USA(AK)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
arctic alkaligrass,Puccinellia arctica,"CAN(NT, NU, YT), DEN(GL), USA(AK)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
weeping alkaligrass,Puccinellia distans,"CAN(AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
weeping alkaligrass,Puccinellia distans ssp. borealis,"USA(AK, CT, MA, NJ, NY, VT, WI)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
weeping alkaligrass,Puccinellia distans ssp. distans,"CAN(AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK, YT), DEN(GL), FRA(SB), USA(AK, AZ, CA, CO, CT, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, ND, NE, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
saltmarsh alkaligrass,Puccinellia fasciculata,"CAN(NS, ON, PE), USA(AZ, CT, DE, MA, MD, ME, NH, NJ, NV, NY, PA, RI, UT, VA)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
Howell's alkaligrass,Puccinellia howellii,USA(CA),Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
Tracadigash Mountain alkaligrass,Puccinellia laurentiana,"USA(ME, NH)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
Lemmon's alkaligrass,Puccinellia lemmonii,"USA(CA, ID, MT, NV, OR, WA, WY)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
shining alkaligrass,Puccinellia lucida,"USA(OR, WA)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
seaside alkaligrass,Puccinellia maritima,"CAN(NB, NS, PE, QC), DEN(GL), USA(CA, CT, DE, MA, ME, NH, NJ, NY, PA, RI, WA)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
Nootka alkaligrass,Puccinellia nutkaensis,"CAN(BC, LB, MB, NB, NF, NS, NT, NU, ON, QC, YT), DEN(GL), USA(AK, CA, OR, WA)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
bog alkaligrass,Puccinellia parishii,"USA(AZ, CA, CO, NM)",Poaceae,Grass family,Annual,Graminoid,,,,,,,,,,,,,,,,,,,,,,
creeping alkaligrass,Puccinellia phryganodes,"CAN(LB, MB, NB, NF, NT, NU, ON, QC, YT), DEN(GL), USA(AK)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
creeping alkaligrass,Puccinellia phryganodes ssp. phryganodes,"CAN(LB, MB, NB, NF, NT, NU, ON, QC, YT), DEN(GL), USA(AK)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
dwarf alkaligrass,Puccinellia pumila,"CAN(BC, LB, MB, NB, NF, NS, NU, ON, PE, QC), DEN(GL), FRA(SB), USA(AK, CA, MA, OR, WA)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
British alkaligrass,Puccinellia rupestris,"USA(NJ, NY, PA, WA)",Poaceae,Grass family,Annual,Graminoid,,,,,,,,,,,,,,,,,,,,,,
California alkaligrass,Puccinellia simplex,"USA(CA, UT)",Poaceae,Grass family,Annual,Graminoid,,,,,,,,,,,,,,,,,,,,,,
tundra alkaligrass,Puccinellia tenella,"CAN(LB, MB, NB, NF, NS, NT, NU, ON, PE, QC), DEN(GL), FRA(SB), USA(AK, CT, MA, ME, NH, NY, RI, VT)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
tundra alkaligrass,Puccinellia tenella ssp. langeana,"CAN(LB, MB, NB, NF, NS, NT, NU, ON, PE, QC), DEN(GL), FRA(SB), USA(AK, CT, MA, ME, NH, NY, RI, VT)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
sheathed alkaligrass,Puccinellia vaginata,"CAN(LB, MB, NT, NU, ON, QC, YT), DEN(GL), USA(AK)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
Vahl's alkaligrass,Puccinellia vahliana,"CAN(LB, NT, NU, QC, YT), DEN(GL), USA(AK)",Poaceae,Grass family,Perennial,Graminoid,,,,,,,,,,,,,,,,,,,,,,
kudzu,Pueraria,"USA+(PR, VI), USA(AL, AR, CT, DC, DE, FL, GA, HI, IL, IN, KS, KY, LA, MA, MD, ME, MO, MS, NC, NE, NJ, NY, OH, OK, OR, PA, PW, SC, TN, TX, VA, WA, WV)",Fabaceae,Pea family,,,,,,,,,,,,,,,,,,,,,,,,
