Common_Name,Scientific_Name,Family_Common_Name,Duration,Flower_Color,Foliage_Color,Growth_Habit,"Height,_Mature_(feet)",Toxicity,Drought_Tolerance,Shade_Tolerance,Bloom_Period,Palatable_Human
redberry buckthorn,Rhamnus crocea ssp. crocea,Buckthorn family,Perennial,,,"Tree, Shrub",,,,,,
hollyleaf buckthorn,Rhamnus crocea ssp. pilosa,Buckthorn family,Perennial,,,"Shrub, Tree",,,,,,
Dahurian buckthorn,Rhamnus davurica,Buckthorn family,Perennial,,,"Tree, Shrub",,,,,,
Dahurian buckthorn,Rhamnus davurica ssp. davurica,Buckthorn family,Perennial,,,"Shrub, Tree",,,,,,
Dahurian buckthorn,Rhamnus davurica ssp. nipponica,Buckthorn family,Perennial,,,"Tree, Shrub",,,,,,
hollyleaf redberry,Rhamnus ilicifolia,Buckthorn family,Perennial,,,"Shrub, Tree",,,,,,
Japanese buckthorn,Rhamnus japonica,Buckthorn family,Perennial,,,Tree,,,,,,
lanceleaf buckthorn,Rhamnus lanceolata,Buckthorn family,Perennial,,,"Shrub, Tree",,,,,,
lanceleaf buckthorn,Rhamnus lanceolata ssp. glabrata,Buckthorn family,Perennial,,,"Shrub, Tree",,,,,,
lanceleaf buckthorn,Rhamnus lanceolata ssp. lanceolata,Buckthorn family,Perennial,,,"Shrub, Tree",,,,,,
island redberry,Rhamnus pirifolia,Buckthorn family,Perennial,,,"Shrub, Tree",,,,,,
sawleaf buckthorn,Rhamnus serrata,Buckthorn family,Perennial,,,Shrub,,,,,,
Smith's buckthorn,Rhamnus smithii,Buckthorn family,Perennial,,,Shrub,,,,,,
Chinese buckthorn,Rhamnus utilis,Buckthorn family,Perennial,,,Shrub,,,,,,
rhapidophyllum,Rhapidophyllum,Palm family,,,,,,,,,,
needle palm,Rhapidophyllum hystrix,Palm family,Perennial,,,Shrub,,,,,,
rhubarb,Rheum,Buckwheat family,,,,,,,,,,
garden rhubarb,Rheum rhabarbarum,Buckwheat family,Perennial,,,Forb/herb,,,,,,
meadowbeauty,Rhexia,Melastome family,,,,,,,,,,
savannah meadowbeauty,Rhexia alifanus,Melastome family,Perennial,,,Forb/herb,,,,,,
awnpetal meadowbeauty,Rhexia aristosa,Melastome family,Perennial,,,Forb/herb,,,,,,
hybrid meadowbeauty,Rhexia aristosa × virginica,Melastome family,Perennial,,,Forb/herb,,,,,,
West Indian meadowbeauty,Rhexia cubensis,Melastome family,Perennial,,,Forb/herb,,,,,,
yellow meadowbeauty,Rhexia lutea,Melastome family,Perennial,,,Forb/herb,,,,,,
Maryland meadowbeauty,Rhexia mariana,Melastome family,Perennial,,,Forb/herb,,,,,,
Maryland meadowbeauty,Rhexia mariana var. interior,Melastome family,Perennial,,,Forb/herb,,,,,,
Maryland meadowbeauty,Rhexia mariana var. mariana,Melastome family,Perennial,,,Forb/herb,,,,,,
Maryland meadowbeauty,Rhexia mariana var. ventricosa,Melastome family,Perennial,,,Forb/herb,,,,,,
maid Marian,Rhexia nashii,Melastome family,Perennial,,,Forb/herb,,,,,,
Nuttall's meadowbeauty,Rhexia nuttallii,Melastome family,Perennial,,,Forb/herb,,,,,,
white meadowbeauty,Rhexia parviflora,Melastome family,Perennial,,,Forb/herb,,,,,,
fringed meadowbeauty,Rhexia petiolata,Melastome family,Perennial,,,Forb/herb,,,,,,
panhandle meadowbeauty,Rhexia salicifolia,Melastome family,Perennial,,,Forb/herb,,,,,,
handsome Harry,Rhexia virginica,Melastome family,Perennial,,,Forb/herb,,,,,,
yellow rattle,Rhinanthus,Figwort family,,,,,,,,,,
European yellow rattle,Rhinanthus major,Figwort family,Annual,,,Forb/herb,,,,,,
little yellow rattle,Rhinanthus minor,Figwort family,Annual,,,Forb/herb,,,,,,
arctic rattlebox,Rhinanthus minor ssp. groenlandicus,Figwort family,Annual,,,Forb/herb,,,,,,
little yellow rattle,Rhinanthus minor ssp. minor,Figwort family,Annual,,,Forb/herb,,,,,,
late-flowering yellow rattle,Rhinanthus serotinus,Figwort family,Annual,,,Forb/herb,,,,,,
rhipsalis,Rhipsalis,Cactus family,,,,,,,,,,
mistletoe cactus,Rhipsalis baccifera,Cactus family,Perennial,,,Shrub,,,,,,
rhizomnium moss,Rhizomnium,,,,,,,,,,,
rhizomnium moss,Rhizomnium punctatum,,,,,Nonvascular,,,,,,
mangrove,Rhizophora,Red Mangrove family,,,,,,,,,,
red mangrove,Rhizophora mangle,Red Mangrove family,Perennial,,,"Tree, Shrub",,,,,,
sunray,Rhodanthe,Aster family,,,,,,,,,,
rosy sunray,Rhodanthe chlorocephala,Aster family,Annual,,,Forb/herb,,,,,,
rosy sunray,Rhodanthe chlorocephala ssp. rosea,Aster family,Annual,,,Forb/herb,,,,,,
stonecrop,Rhodiola,Stonecrop family,,,,,,,,,,
ledge stonecrop,Rhodiola integrifolia,Stonecrop family,Perennial,,,Forb/herb,,,,,,
ledge stonecrop,Rhodiola integrifolia ssp. integrifolia,Stonecrop family,Perennial,,,Forb/herb,,,,,,
Leedy's stonecrop,Rhodiola integrifolia ssp. leedyi,Stonecrop family,Perennial,,,Forb/herb,,,,,,
New Mexican stonecrop,Rhodiola integrifolia ssp. neomexicana,Stonecrop family,Perennial,,,Forb/herb,,,,,,
ledge stonecrop,Rhodiola integrifolia ssp. procera,Stonecrop family,Perennial,,,Forb/herb,,,,,,
redpod stonecrop,Rhodiola rhodantha,Stonecrop family,Perennial,,,Forb/herb,,,,,,
roseroot stonecrop,Rhodiola rosea,Stonecrop family,Perennial,,,Forb/herb,,,,,,
rhodobryum moss,Rhodobryum,,,,,,,,,,,
rose rhodobryum moss,Rhodobryum roseum,,,,,Nonvascular,,,,,,
rhododendron,Rhododendron,Heath family,,,,,,,,,,
hybrid rhododendron,Rhododendron ×bakeri,Heath family,Perennial,,,Shrub,,,,,,
hybrid rhododendron,Rhododendron ×pennsylvanicum,Heath family,Perennial,,,Shrub,,,,,,
hybrid rhododendron,Rhododendron ×welleslyanum,Heath family,Perennial,,,"Tree, Shrub",,,,,,
Alabama azalea,Rhododendron alabamense,Heath family,Perennial,,,Shrub,,,,,,
Cascade azalea,Rhododendron albiflorum var. albiflorum,Heath family,Perennial,,,Shrub,,,,,,
Cascade azalea,Rhododendron albiflorum var. warrenii,Heath family,Perennial,,,Shrub,,,,,,
orange azalea,Rhododendron austrinum,Heath family,Perennial,,,Shrub,,,,,,
flame azalea,Rhododendron calendulaceum,Heath family,Perennial,,,Shrub,,,,,,
Carolina azalea,Rhododendron carolinianum,Heath family,Perennial,,,Shrub,,,,,,
Catawba rosebay,Rhododendron catawbiense,Heath family,Perennial,,,"Tree, Shrub",,,,,,
Chapman's rhododendron,Rhododendron chapmanii,Heath family,Perennial,,,Shrub,,,,,,
Cumberland rhododendron,Rhododendron cumberlandense,Heath family,Perennial,,,Shrub,,,,,,
Santee azalea,Rhododendron eastmanii,Heath family,Perennial,,,"Shrub, Tree",,,,,,
piedmont azalea,Rhododendron flammeum,Heath family,Perennial,,,Shrub,,,,,,
Japanese azalea,Rhododendron japonicum,Heath family,Perennial,,,Shrub,,,,,,
Lapland rosebay,Rhododendron lapponicum var. lapponicum,Heath family,Perennial,,,Shrub,,,,,,
piedmont rhododendron,Rhododendron minus,Heath family,Perennial,,,Shrub,,,,,,
Texas azalea,Rhododendron oblongifolium,Heath family,Perennial,,,Shrub,,,,,,
western azalea,Rhododendron occidentale var. occidentale,Heath family,Perennial,,,Shrub,,,,,,
western azalea,Rhododendron occidentale var. paludosum,Heath family,Perennial,,,Shrub,,,,,,
Sonoma azalea,Rhododendron occidentale var. sonomense,Heath family,Perennial,,,Shrub,,,,,,
early azalea,Rhododendron prinophyllum,Heath family,Perennial,,,Shrub,,,,,,
plumleaf azalea,Rhododendron prunifolium,Heath family,Perennial,,,Shrub,,,,,,
pinkshell azalea,Rhododendron vaseyi,Heath family,Perennial,,,Shrub,,,,,,
sandmint,Rhododon,Mint family,,,,,,,,,,
angled sandmint,Rhododon angulatus,Mint family,Annual,,,Forb/herb,,,,,,
Texas sandmint,Rhododon ciliatus,Mint family,Annual,,,Forb/herb,,,,,,
rhodomyrtus,Rhodomyrtus,Myrtle family,,,,,,,,,,
rose myrtle,Rhodomyrtus tomentosa,Myrtle family,Perennial,,,"Tree, Shrub",,,,,,
rhodotypos,Rhodotypos,Rose family,,,,,,,,,,
jetbead,Rhodotypos scandens,Rose family,Perennial,,,Shrub,,,,,,
sumac,Rhus,Sumac family,,,,,,,,,,
Ashe's sumac,Rhus ×ashei,Sumac family,Perennial,,,"Shrub, ",,,,,,
hybrid sumac,Rhus ×borealis,Sumac family,Perennial,,,"Shrub, Tree",,,,,,
fragrant sumac,Rhus aromatica,Sumac family,Perennial,,,Shrub,,,,,,
fragrant sumac,Rhus aromatica var. arenaria,Sumac family,Perennial,,,Shrub,,,,,,
fragrant sumac,Rhus aromatica var. aromatica,Sumac family,Perennial,,,Shrub,,,,,,
winged sumac,Rhus copallinum var. copallinum,Sumac family,Perennial,,,"Tree, Shrub",,,,,,
winged sumac,Rhus copallinum var. latifolia,Sumac family,Perennial,,,"Tree, Shrub",,,,,,
winged sumac,Rhus copallinum var. leucantha,Sumac family,Perennial,,,"Shrub, Tree",,,,,,
lemonade sumac,Rhus integrifolia,Sumac family,Perennial,,,"Tree, Shrub",,,,,,
Kearney's sumac,Rhus kearneyi,Sumac family,Perennial,,,"Tree, Shrub",,,,,,
African sumac,Rhus lancea,Sumac family,Perennial,,,Tree,,,,,,
prairie sumac,Rhus lanceolata,Sumac family,Perennial,,,"Tree, Shrub",,,,,,
false poison sumac,Rhus michauxii,Sumac family,Perennial,,,"Subshrub, Shrub",,,,,,
skunkbush sumac,Rhus trilobata var. anisophylla,Sumac family,Perennial,,,Shrub,,,,,,
pubescent skunkbush sumac,Rhus trilobata var. pilosissima,Sumac family,Perennial,,,Shrub,,,,,,
skunkbush sumac,Rhus trilobata var. quinata,Sumac family,Perennial,,,Shrub,,,,,,
skunkbush sumac,Rhus trilobata var. racemulosa,Sumac family,Perennial,,,Shrub,,,,,,
skunkbush sumac,Rhus trilobata var. simplicifolia,Sumac family,Perennial,,,Shrub,,,,,,
skunkbush sumac,Rhus trilobata var. trilobata,Sumac family,Perennial,,,Shrub,,,,,,
staghorn sumac,Rhus typhina,Sumac family,Perennial,,,"Shrub, Tree",,,,,,
evergreen sumac,Rhus virens,Sumac family,Perennial,,,"Tree, Shrub",,,,,,
evergreen sumac,Rhus virens var. choriophylla,Sumac family,Perennial,,,"Tree, Shrub",,,,,,
evergreen sumac,Rhus virens var. virens,Sumac family,Perennial,,,"Shrub, Tree",,,,,,
snoutbean,Rhynchosia,Pea family,,,,,,,,,,
American snoutbean,Rhynchosia americana,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
brownhair snoutbean,Rhynchosia cinerea,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
royal snoutbean,Rhynchosia cytisoides,Pea family,Perennial,,,Forb/herb,,,,,,
doubleform snoutbean,Rhynchosia difformis,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
Chihuahuan snoutbean,Rhynchosia edulis,Pea family,Perennial,,,"Forb/herb, Vine",,,,,,
prairie snoutbean,Rhynchosia latifolia,Pea family,Perennial,,,"Forb/herb, Vine",,,,,,
pinelands snoutbean,Rhynchosia lewtonii,Pea family,Perennial,,,"Forb/herb, Vine",,,,,,
Michaux's snoutbean,Rhynchosia michauxii,Pea family,Perennial,,,Vine,,,,,,
least snoutbean,Rhynchosia minima,Pea family,Perennial,,,"Subshrub, Forb/herb, Vine",,,,,,
small-leaf snoutbean,Rhynchosia parvifolia,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
rosary snoutbean,Rhynchosia precatoria,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
dollarleaf,Rhynchosia reniformis,Pea family,Perennial,,,Forb/herb,,,,,,
Texas snoutbean,Rhynchosia senna,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
Texas snoutbean,Rhynchosia senna var. texana,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
Swartz's snoutbean,Rhynchosia swartzii,Pea family,Perennial,,,"Vine, Forb/herb",,,,,,
twining snoutbean,Rhynchosia tomentosa,Pea family,Perennial,,,Forb/herb,,,,,,
twining snoutbean,Rhynchosia tomentosa var. mollissima,Pea family,Perennial,,,Forb/herb,,,,,,
twining snoutbean,Rhynchosia tomentosa var. tomentosa,Pea family,Perennial,,,Forb/herb,,,,,,
rhynchosida,Rhynchosida,Mallow family,,,,,,,,,,
buffpetal,Rhynchosida physocalyx,Mallow family,Perennial,,,"Subshrub, Forb/herb",,,,,,
beaksedge,Rhynchospora,Sedge family,,,,,,,,,,
white beaksedge,Rhynchospora alba,Sedge family,Perennial,,,Graminoid,,,,,,
Baldwin's beaksedge,Rhynchospora baldwinii,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
West Indian beaksedge,Rhynchospora brachychaeta,Sedge family,Perennial,,,Graminoid,,,,,,
anglestem beaksedge,Rhynchospora caduca,Sedge family,Perennial,,,Graminoid,,,,,,
California beaksedge,Rhynchospora californica,Sedge family,Perennial,,,Graminoid,,,,,,
needle beaksedge,Rhynchospora capillacea,Sedge family,Perennial,,,Graminoid,,,,,,
brownish beaksedge,Rhynchospora capitellata,Sedge family,Perennial,,,Graminoid,,,,,,
broadfruit horned beaksedge,Rhynchospora careyana,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
bunched beaksedge,Rhynchospora cephalantha,Sedge family,Perennial,,,Graminoid,,,,,,
loosehead beaksedge,Rhynchospora chalarocephala,Sedge family,Perennial,,,Graminoid,,,,,,
Chapman's beaksedge,Rhynchospora chapmanii,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
fringed beaksedge,Rhynchospora ciliaris,Sedge family,Perennial,,,Graminoid,,,,,,
starrush whitetop,Rhynchospora colorata,Sedge family,Perennial,,,Graminoid,,,,,,
flatfruit beaksedge,Rhynchospora compressa,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
mosquito beaksedge,Rhynchospora crinipes,Sedge family,Perennial,,,Graminoid,,,,,,
Curtiss' beaksedge,Rhynchospora curtissii,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
savannah beaksedge,Rhynchospora debilis,Sedge family,Perennial,,,Graminoid,,,,,,
swampforest beaksedge,Rhynchospora decurrens,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
spreading beaksedge,Rhynchospora divergens,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
Elliott's beaksedge,Rhynchospora elliottii,Sedge family,Perennial,,,Graminoid,,,,,,
Florida beaksedge,Rhynchospora eximia,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
fascicled beaksedge,Rhynchospora fascicularis,Sedge family,Perennial,,,Graminoid,,,,,,
fascicled beaksedge,Rhynchospora fascicularis var. distans,Sedge family,Perennial,,,Graminoid,,,,,,
fascicled beaksedge,Rhynchospora fascicularis var. fascicularis,Sedge family,Perennial,,,Graminoid,,,,,,
Fernald's beaksedge,Rhynchospora fernaldii,Sedge family,Perennial,,,Graminoid,,,,,,
threadleaf beaksedge,Rhynchospora filifolia,Sedge family,Perennial,,,Graminoid,,,,,,
Florida whitetop,Rhynchospora floridensis,Sedge family,Perennial,,,Graminoid,,,,,,
brown beaksedge,Rhynchospora fusca,Sedge family,Perennial,,,Graminoid,,,,,,
shortbristle beaksedge,Rhynchospora galeana,Sedge family,Perennial,,,Graminoid,,,,,,
globe beaksedge,Rhynchospora globularis,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
globe beaksedge,Rhynchospora globularis var. globularis,Sedge family,Perennial,,,Graminoid,,,,,,
globe beaksedge,Rhynchospora globularis var. pinetorum,Sedge family,Perennial,,,Graminoid,,,,,,
Stone Mountain beaksedge,Rhynchospora globularis var. saxicola,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
clustered beaksedge,Rhynchospora glomerata,Sedge family,Perennial,,,Graminoid,,,,,,
slender beaksedge,Rhynchospora gracilenta,Sedge family,Perennial,,,Graminoid,,,,,,
Gray's beaksedge,Rhynchospora grayi,Sedge family,Perennial,,,Graminoid,,,,,,
Harper's beaksedge,Rhynchospora harperi,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
Harvey's beaksedge,Rhynchospora harveyi,Sedge family,Perennial,,,Graminoid,,,,,,
Georgia beaksedge,Rhynchospora harveyi var. culixa,Sedge family,Perennial,,,Graminoid,,,,,,
Harvey's beaksedge,Rhynchospora harveyi var. harveyi,Sedge family,Perennial,,,Graminoid,,,,,,
Indianola beaksedge,Rhynchospora indianolensis,Sedge family,Perennial,,,Graminoid,,,,,,
nodding beaksedge,Rhynchospora inexpansa,Sedge family,Perennial,,,Graminoid,,,,,,
narrowfruit horned beaksedge,Rhynchospora inundata,Sedge family,Perennial,,,Graminoid,,,,,,
Knieskern's beaksedge,Rhynchospora knieskernii,Sedge family,Perennial,,,Graminoid,,,,,,
Kunth's beaksedge,Rhynchospora kunthii,Sedge family,Perennial,,,Graminoid,,,,,,
sandswamp whitetop,Rhynchospora latifolia,Sedge family,Perennial,,,Graminoid,,,,,,
slender-fruit beaksedge,Rhynchospora leptocarpa,Sedge family,Perennial,,,Graminoid,,,,,,
large beaksedge,Rhynchospora macra,Sedge family,Perennial,,,Graminoid,,,,,,
tall horned beaksedge,Rhynchospora macrostachya,Sedge family,Perennial,,,Graminoid,,,,,,
Marlin beaksedge,Rhynchospora marliniana,Sedge family,Perennial,,,Graminoid,,,,,,
sandyfield beaksedge,Rhynchospora megalocarpa,Sedge family,Perennial,,,Graminoid,,,,,,
Manatee beaksedge,Rhynchospora megaplumosa,Sedge family,Perennial,,,Graminoid,,,,,,
southern beaksedge,Rhynchospora microcarpa,Sedge family,Perennial,,,Graminoid,,,,,,
smallhead beaksedge,Rhynchospora microcephala,Sedge family,Perennial,,,Graminoid,,,,,,
millet beaksedge,Rhynchospora miliacea,Sedge family,Perennial,,,Graminoid,,,,,,
mingled beaksedge,Rhynchospora mixta,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
shortbeak beaksedge,Rhynchospora nitens,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
showy whitetop,Rhynchospora nivea,Sedge family,Perennial,,,Graminoid,,,,,,
fragrant beaksedge,Rhynchospora odorata,Sedge family,Perennial,,,Graminoid,,,,,,
featherbristle beaksedge,Rhynchospora oligantha,Sedge family,Perennial,,,Graminoid,,,,,,
pale beaksedge,Rhynchospora pallida,Sedge family,Perennial,,,Graminoid,,,,,,
pineland beaksedge,Rhynchospora perplexa,Sedge family,Perennial,,,Graminoid,,,,,,
pine barren beaksedge,Rhynchospora pineticola,Sedge family,Perennial,,,Graminoid,,,,,,
coastal beaksedge,Rhynchospora pleiantha,Sedge family,Perennial,,,Graminoid,,,,,,
plumed beaksedge,Rhynchospora plumosa,Sedge family,Perennial,,,Graminoid,,,,,,
dotted beaksedge,Rhynchospora punctata,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
fairy beaksedge,Rhynchospora pusilla,Sedge family,Perennial,,,Graminoid,,,,,,
fewflower beaksedge,Rhynchospora rariflora,Sedge family,Perennial,,,Graminoid,,,,,,
globe beaksedge,Rhynchospora recognita,Sedge family,Perennial,,,Graminoid,,,,,,
longbeak beaksedge,Rhynchospora scirpoides,Sedge family,Annual,,,Graminoid,,,,,,
Hawai'i beaksedge,Rhynchospora sclerioides,Sedge family,Perennial,,,Graminoid,,,,,,
onespike beaksedge,Rhynchospora solitaria,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
coastal plain beaksedge,Rhynchospora stenophylla,Sedge family,"Annual, Perennial",,,Graminoid,,,,,,
Thorne's beaksedge,Rhynchospora thornei,Sedge family,Perennial,,,Graminoid,,,,,,
Torrey's beaksedge,Rhynchospora torreyana,Sedge family,Perennial,,,Graminoid,,,,,,
Tracy's beaksedge,Rhynchospora tracyi,Sedge family,Perennial,,,Graminoid,,,,,,
Wright's beaksedge,Rhynchospora wrightiana,Sedge family,Perennial,,,Graminoid,,,,,,
currant,Ribes,Currant family,,,,,,,,,,
mapleleaf currant,Ribes acerifolium,Currant family,Perennial,,,Shrub,,,,,,
alpine currant,Ribes alpinum,Currant family,Perennial,,,Shrub,,,,,,
bitter gooseberry,Ribes amarum,Currant family,Perennial,,,Shrub,,,,,,
golden currant,Ribes aureum var. aureum,Currant family,Perennial,,,Shrub,,,,,,
golden currant,Ribes aureum var. gracillimum,Currant family,Perennial,,,Shrub,,,,,,
ground gooseberry,Ribes binominatum,Currant family,Perennial,,,Shrub,,,,,,
stink currant,Ribes bracteosum,Currant family,Perennial,,,Shrub,,,,,,
hillside gooseberry,Ribes californicum,Currant family,Perennial,,,Shrub,,,,,,
hillside gooseberry,Ribes californicum var. californicum,Currant family,Perennial,,,Shrub,,,,,,
hillside gooseberry,Ribes californicum var. hesperium,Currant family,Perennial,,,Shrub,,,,,,
Moreno currant,Ribes canthariforme,Currant family,Perennial,,,Shrub,,,,,,
wax currant,Ribes cereum var. cereum,Currant family,Perennial,,,Shrub,,,,,,
wax currant,Ribes cereum var. colubrinum,Currant family,Perennial,,,Shrub,,,,,,
whisky currant,Ribes cereum var. pedicellare,Currant family,Perennial,,,Shrub,,,,,,
shinyleaf currant,Ribes cruentum,Currant family,Perennial,,,Shrub,,,,,,
shinyleaf currant,Ribes cruentum var. cruentum,Currant family,Perennial,,,Shrub,,,,,,
Oregon currant,Ribes cruentum var. oregonense,Currant family,Perennial,,,Shrub,,,,,,
granite gooseberry,Ribes curvatum,Currant family,Perennial,,,Shrub,,,,,,
eastern prickly gooseberry,Ribes cynosbati,Currant family,Perennial,,,Shrub,,,,,,
spreading gooseberry,Ribes divaricatum,Currant family,Perennial,,,Shrub,,,,,,
spreading gooseberry,Ribes divaricatum var. divaricatum,Currant family,Perennial,,,Shrub,,,,,,
Parish's gooseberry,Ribes divaricatum var. parishii,Currant family,Perennial,,,Shrub,,,,,,
straggly gooseberry,Ribes divaricatum var. pubiflorum,Currant family,Perennial,,,Shrub,,,,,,
Miccosukee gooseberry,Ribes echinellum,Currant family,Perennial,,,Shrub,,,,,,
skunk currant,Ribes glandulosum,Currant family,Perennial,,,Shrub,,,,,,
hairystem gooseberry,Ribes hirtellum,Currant family,Perennial,,,Shrub,,,,,,
Hudson Bay currant,Ribes hudsonianum var. hudsonianum,Currant family,Perennial,,,Shrub,,,,,,
western black currant,Ribes hudsonianum var. petiolare,Currant family,Perennial,,,Shrub,,,,,,
whiteflower currant,Ribes indecorum,Currant family,Perennial,,,Shrub,,,,,,
whitestem gooseberry,Ribes inerme var. inerme,Currant family,Perennial,,,Shrub,,,,,,
Klamath gooseberry,Ribes inerme var. klamathense,Currant family,Perennial,,,Shrub,,,,,,
alpine gooseberry,Ribes lasianthum,Currant family,Perennial,,,Shrub,,,,,,
trailing black currant,Ribes laxiflorum,Currant family,Perennial,,,"Vine, Shrub",,,,,,
trumpet gooseberry,Ribes leptanthum,Currant family,Perennial,,,Shrub,,,,,,
gummy gooseberry,Ribes lobbii,Currant family,Perennial,,,Shrub,,,,,,
chaparral currant,Ribes malvaceum,Currant family,Perennial,,,Shrub,,,,,,
chaparral currant,Ribes malvaceum var. malvaceum,Currant family,Perennial,,,Shrub,,,,,,
chaparral currant,Ribes malvaceum var. viridifolium,Currant family,Perennial,,,Shrub,,,,,,
Hupa gooseberry,Ribes marshallii,Currant family,Perennial,,,Shrub,,,,,,
canyon gooseberry,Ribes menziesii,Currant family,Perennial,,,Shrub,,,,,,
canyon gooseberry,Ribes menziesii var. hystrix,Currant family,Perennial,,,Shrub,,,,,,
canyon gooseberry,Ribes menziesii var. ixoderme,Currant family,Perennial,,,Shrub,,,,,,
canyon gooseberry,Ribes menziesii var. leptosmum,Currant family,Perennial,,,Shrub,,,,,,
canyon gooseberry,Ribes menziesii var. menziesii,Currant family,Perennial,,,Shrub,,,,,,
canyon gooseberry,Ribes menziesii var. senile,Currant family,Perennial,,,Shrub,,,,,,
Mescalero currant,Ribes mescalerium,Currant family,Perennial,,,Shrub,,,,,,
Missouri gooseberry,Ribes missouriense,Currant family,Perennial,,,Shrub,,,,,,
Sierra currant,Ribes nevadense var. glaucescens,Currant family,Perennial,,,Shrub,,,,,,
Jaeger's currant,Ribes nevadense var. jaegeri,Currant family,Perennial,,,Shrub,,,,,,
Sierra currant,Ribes nevadense var. nevadense,Currant family,Perennial,,,Shrub,,,,,,
European black currant,Ribes nigrum,Currant family,Perennial,,,Shrub,,,,,,
snow currant,Ribes niveum,Currant family,Perennial,,,Shrub,,,,,,
Canadian gooseberry,Ribes oxyacanthoides,Currant family,Perennial,,,Shrub,,,,,,
stream currant,Ribes oxyacanthoides ssp. cognatum,Currant family,Perennial,,,Shrub,,,,,,
Henderson's currant,Ribes oxyacanthoides ssp. hendersonii,Currant family,Perennial,,,Shrub,,,,,,
Idaho gooseberry,Ribes oxyacanthoides ssp. irriguum,Currant family,Perennial,,,Shrub,,,,,,
Canadian gooseberry,Ribes oxyacanthoides ssp. oxyacanthoides,Currant family,Perennial,,,Shrub,,,,,,
inland gooseberry,Ribes oxyacanthoides ssp. setosum,Currant family,Perennial,,,Shrub,,,,,,
orange gooseberry,Ribes pinetorum,Currant family,Perennial,,,Shrub,,,,,,
rock gooseberry,Ribes quercetorum,Currant family,Perennial,,,Shrub,,,,,,
Sierra gooseberry,Ribes roezlii var. amictum,Currant family,Perennial,,,Shrub,,,,,,
Sierra gooseberry,Ribes roezlii var. roezlii,Currant family,Perennial,,,Shrub,,,,,,
Appalachian gooseberry,Ribes rotundifolium,Currant family,Perennial,,,Shrub,,,,,,
cultivated currant,Ribes rubrum,Currant family,Perennial,,,Shrub,,,,,,
blood currant,Ribes sanguineum var. deductum,Currant family,Perennial,,,Shrub,,,,,,
blood currant,Ribes sanguineum var. glutinosum,Currant family,Perennial,,,Shrub,,,,,,
blood currant,Ribes sanguineum var. melanocarpum,Currant family,Perennial,,,Shrub,,,,,,
redflower currant,Ribes sanguineum var. sanguineum,Currant family,Perennial,,,Shrub,,,,,,
Lucia gooseberry,Ribes sericeum,Currant family,Perennial,,,Shrub,,,,,,
fuchsiaflower gooseberry,Ribes speciosum,Currant family,Perennial,,,Shrub,,,,,,
Santa Cruz gooseberry,Ribes thacherianum,Currant family,Perennial,,,Shrub,,,,,,
Tulare gooseberry,Ribes tularense,Currant family,Perennial,,,Shrub,,,,,,
European gooseberry,Ribes uva-crispa,Currant family,Perennial,,,Shrub,,,,,,
European gooseberry,Ribes uva-crispa var. sativum,Currant family,Perennial,,,Shrub,,,,,,
desert gooseberry,Ribes velutinum,Currant family,Perennial,,,Shrub,,,,,,
Gooding's gooseberry,Ribes velutinum var. gooddingii,Currant family,Perennial,,,Shrub,,,,,,
desert gooseberry,Ribes velutinum var. velutinum,Currant family,Perennial,,,Shrub,,,,,,
Victor's gooseberry,Ribes victoris,Currant family,Perennial,,,Shrub,,,,,,
spring gooseberry,Ribes watsonianum,Currant family,Perennial,,,Shrub,,,,,,
Wolf's currant,Ribes wolfii,Currant family,Perennial,,,Shrub,,,,,,
Mexican clover,Richardia,Madder family,,,,,,,,,,
tropical Mexican clover,Richardia brasiliensis,Madder family,"Annual, Perennial",,,Forb/herb,,,,,,
largeflower Mexican clover,Richardia grandiflora,Madder family,"Annual, Perennial",,,Forb/herb,,,,,,
South American Mexican clover,Richardia humistrata,Madder family,Perennial,,,Forb/herb,,,,,,
rough Mexican clover,Richardia scabra,Madder family,Annual,,,Forb/herb,,,,,,
prairie Mexican clover,Richardia tricocca,Madder family,Perennial,,,Forb/herb,,,,,,
ricinus,Ricinus,Spurge family,,,,,,,,,,
